Date,Visitor,G,Home,G,,Att.,LOG,Notes
2016-10-24,Calgary Flames,3,Chicago Blackhawks,2,SO,21348,2:51,
2016-10-24,Philadelphia Flyers,1,Montreal Canadiens,3,,21288,2:27,
2016-10-25,Minnesota Wild,5,Boston Bruins,0,,17565,2:32,
2016-10-25,Winnipeg Jets,2,Dallas Stars,3,,18040,2:37,
2016-10-25,Carolina Hurricanes,2,Detroit Red Wings,4,,20027,2:24,
2016-10-25,Columbus Blue Jackets,2,Los Angeles Kings,3,OT,18230,2:23,
2016-10-25,Arizona Coyotes,3,New Jersey Devils,5,,12756,2:30,
2016-10-25,Buffalo Sabres,3,Philadelphia Flyers,4,SO,19209,2:50,
2016-10-25,Florida Panthers,2,Pittsburgh Penguins,3,,18434,2:20,
2016-10-25,Anaheim Ducks,1,San Jose Sharks,2,OT,17562,2:36,
2016-10-25,Calgary Flames,4,St. Louis Blues,1,,17337,2:25,
2016-10-25,Tampa Bay Lightning,7,Toronto Maple Leafs,3,,19449,2:42,
2016-10-25,Ottawa Senators,3,Vancouver Canucks,0,,18471,2:24,
2016-10-26,Nashville Predators,1,Anaheim Ducks,6,,15421,2:36,
2016-10-26,Washington Capitals,1,Edmonton Oilers,4,,18347,2:30,
2016-10-26,Montreal Canadiens,3,New York Islanders,2,,12194,2:33,
2016-10-26,Boston Bruins,2,New York Rangers,5,,18006,2:31,
2016-10-27,Minnesota Wild,4,Buffalo Sabres,0,,18122,2:28,
2016-10-27,Nashville Predators,2,Los Angeles Kings,3,OT,18230,2:49,
2016-10-27,Tampa Bay Lightning,1,Montreal Canadiens,3,,21288,2:32,
2016-10-27,Arizona Coyotes,5,Philadelphia Flyers,4,,19432,2:39,
2016-10-27,New York Islanders,2,Pittsburgh Penguins,4,,18422,2:35,
2016-10-27,Columbus Blue Jackets,1,San Jose Sharks,3,,17229,2:30,
2016-10-27,Detroit Red Wings,2,St. Louis Blues,1,SO,19229,2:47,
2016-10-27,Florida Panthers,2,Toronto Maple Leafs,3,,18979,2:26,
2016-10-27,Dallas Stars,1,Winnipeg Jets,4,,15294,2:31,
2016-10-28,Columbus Blue Jackets,4,Anaheim Ducks,0,,15841,2:32,
2016-10-28,New York Rangers,2,Carolina Hurricanes,3,,18680,2:21,
2016-10-28,Ottawa Senators,2,Calgary Flames,5,,18132,2:36,
2016-10-28,Winnipeg Jets,1,Colorado Avalanche,0,,16135,2:24,
2016-10-28,Chicago Blackhawks,3,New Jersey Devils,2,OT,13882,2:30,
2016-10-28,Edmonton Oilers,2,Vancouver Canucks,0,,18865,2:24,
2016-10-29,Colorado Avalanche,3,Arizona Coyotes,2,,13533,2:26,
2016-10-29,Florida Panthers,0,Buffalo Sabres,3,,18261,2:34,
2016-10-29,Boston Bruins,1,Detroit Red Wings,0,,20027,2:45,
2016-10-29,Dallas Stars,0,Minnesota Wild,4,,19031,2:28,
2016-10-29,Toronto Maple Leafs,1,Montreal Canadiens,2,,21288,2:28,
2016-10-29,Tampa Bay Lightning,1,New Jersey Devils,3,,13098,2:30,
2016-10-29,Pittsburgh Penguins,5,Philadelphia Flyers,4,,19927,2:41,
2016-10-29,Nashville Predators,1,San Jose Sharks,4,,17562,2:28,
2016-10-29,Los Angeles Kings,0,St. Louis Blues,1,,18631,2:26,
2016-10-29,Washington Capitals,5,Vancouver Canucks,2,,18338,2:36,
2016-10-30,Philadelphia Flyers,4,Carolina Hurricanes,3,,10353,2:28,
2016-10-30,Washington Capitals,3,Calgary Flames,1,,18454,2:25,
2016-10-30,Los Angeles Kings,0,Chicago Blackhawks,3,,21329,2:23,
2016-10-30,Florida Panthers,5,Detroit Red Wings,2,,20027,2:24,
2016-10-30,Ottawa Senators,2,Edmonton Oilers,0,,18347,2:29,
2016-10-30,Toronto Maple Leafs,1,New York Islanders,5,,12057,2:32,
2016-10-30,Tampa Bay Lightning,1,New York Rangers,6,,18006,2:36,
2016-10-30,Buffalo Sabres,3,Winnipeg Jets,1,,15294,2:30,
2016-11-01,San Jose Sharks,2,Arizona Coyotes,3,,11046,2:36,
2016-11-01,Dallas Stars,2,Columbus Blue Jackets,3,OT,10141,2:27,
2016-11-01,Calgary Flames,1,Chicago Blackhawks,5,,21166,2:23,
2016-11-01,Nashville Predators,5,Colorado Avalanche,1,,12142,2:26,
2016-11-01,Boston Bruins,2,Florida Panthers,1,,13808,2:44,
2016-11-01,Anaheim Ducks,4,Los Angeles Kings,0,,18230,2:39,
2016-11-01,Buffalo Sabres,2,Minnesota Wild,1,,18864,2:28,
2016-11-01,Tampa Bay Lightning,6,New York Islanders,1,,10822,2:28,
2016-11-01,St. Louis Blues,0,New York Rangers,5,,18006,2:30,
2016-11-01,Carolina Hurricanes,1,Ottawa Senators,2,OT,13049,2:40,
2016-11-01,Edmonton Oilers,2,Toronto Maple Leafs,3,OT,19687,2:34,
2016-11-01,Washington Capitals,3,Winnipeg Jets,2,,15294,2:35,
2016-11-02,Pittsburgh Penguins,5,Anaheim Ducks,1,,15543,2:33,
2016-11-02,Vancouver Canucks,0,Montreal Canadiens,3,,21288,2:28,
2016-11-02,Detroit Red Wings,3,Philadelphia Flyers,4,OT,19309,2:32,
2016-11-03,Nashville Predators,2,Arizona Coyotes,3,SO,10745,2:40,
2016-11-03,Toronto Maple Leafs,2,Buffalo Sabres,1,,18183,2:35,
